t,y1,y2,H
14.7,-1.4093544629588,0.442408698960658,-0.5
14.73,-1.42103911618552,0.429029142373529,-0.5
14.76,-1.43233271227829,0.415531498536896,-0.5
14.79,-1.44323766658055,0.401921085511952,-0.5
14.82,-1.45375630362337,0.388203068853878,-0.5
14.85,-1.4638908588919,0.374382470470875,-0.5
14.88,-1.47364348054102,0.360464176987896,-0.5
14.91,-1.48301623105784,0.346452947652625,-0.5
14.94,-1.49201108886903,0.332353421818332,-0.5
14.97,-1.50062994989159,0.318170126035442,-0.5
15,-1.50887462902611,0.303907480781269,-0.5
15.03,-1.51674686159175,0.289569806855072,-0.5
15.06,-1.5242483047027,0.275161331463613,-0.5
15.09,-1.53138053858588,0.260686194020538,-0.5
15.12,-1.53814506784001,0.246148451681209,-0.5
15.15,-1.5445433226363,0.231552084633149,-0.5
15.18,-1.55057665986097,0.216901001160831,-0.5
15.21,-1.55624636420025,0.202199042502321,-0.5
15.24,-1.56155364916826,0.187449987514126,-0.5
15.27,-1.56649965807836,0.172657557159582,-0.5
15.3,-1.57108546495869,0.157825418835175,-0.5
15.33,-1.57531207541242,0.142957190548317,-0.5
15.36,-1.57918042742348,0.128056444959369,-0.5
15.39,-1.58269139210844,0.113126713299973,-0.5
15.42,-1.58584577441509,0.0981714891791528,-0.5
15.45,-1.58864431376855,0.0831942322880632,-0.5
15.48,-1.5910876846654,0.0681983720137861,-0.5
15.51,-1.59317649721645,0.0531873109721042,-0.5
15.54,-1.59491129763887,0.0381644284687986,-0.5
15.57,-1.59629256869805,0.02313308389867,-0.5
15.6,-1.5973207300998,0.00809662009117729,-0.5
15.63,-1.59799613883334,-0.00694163338866408,-0.5
15.66,-1.59831908946562,-0.021978356975699,-0.5
15.69,-1.59828981438713,-0.037010237868114,-0.5
15.72,-1.59790848400986,-0.0520339668108676,-0.5
15.75,-1.59717520691748,-0.0670462348910506,-0.5
15.78,-1.59609002996818,-0.0820437303372208,-0.5
15.81,-1.59465293835034,-0.0970231353147756,-0.5
15.84,-1.59286385559124,-0.111981122709418,-0.5
15.87,-1.59072264351898,-0.126914352890717,-0.5
15.9,-1.58822910217778,-0.141819470447682,-0.5
15.93,-1.58538296969664,-0.15669310088814,-0.5
15.96,-1.58218392211163,-0.171531847293553,-0.5
15.99,-1.57863157314163,-0.186332286920689,-0.5
16.02,-1.57472547391767,-0.201090967741351,-0.5
16.05,-1.57046511266584,-0.215804404911042,-0.5
16.08,-1.56584991434377,-0.230469077157148,-0.5
16.11,-1.56087924023061,-0.245081423076812,-0.5
16.14,-1.55555238747057,-0.259637837334274,-0.5
16.17,-1.54986858856989,-0.274134666746939,-0.5
16.2,-1.54382701084738,-0.288568206248907,-0.5
16.23,-1.53742675583841,-0.302934694720113,-0.5
16.26,-1.53066685865262,-0.317230310668526,-0.5
16.29,-1.52354628728523,-0.331451167752133,-0.5
16.32,-1.51606394188235,-0.34559331012663,-0.5
16.35,-1.50821865396044,-0.359652707603805,-0.5
16.38,-1.50000918558041,-0.373625250604641,-0.5
16.41,-1.49143422847679,-0.387506744890037,-0.5
16.44,-1.48249240314278,-0.401292906050884,-0.5
16.47,-1.47318225787187,-0.414979353737861,-0.5
16.5,-1.46350226775742,-0.428561605609898,-0.5
16.53,-1.45345083365136,-0.442035070978627,-0.5
16.56,-1.4430262810838,-0.455395044124395,-0.5
16.59,-1.43222685914578,-0.468636697257465,-0.5
16.62,-1.42105073933751,-0.481755073095904,-0.5
16.65,-1.40949601438535,-0.494745077029302,-0.5
16.68,-1.39756069703122,-0.507601468834891,-0.5
16.71,-1.3852427187988,-0.520318853909751,-0.5
16.74,-1.37253992874183,-0.532891673979687,-0.5
16.77,-1.35945009218087,-0.54531419724183,-0.5
16.8,-1.34597088943572,-0.557580507894235,-0.5
16.83,-1.33209991456251,-0.569684495001449,-0.5
16.86,-1.31783467410555,-0.581619840640355,-0.5
16.89,-1.30317258587607,-0.593380007265373,-0.5
16.92,-1.28811097777231,-0.604958224226345,-0.5
16.95,-1.27264708665727,-0.61634747336599,-0.5
16.98,-1.25677805731399,-0.627540473616714,-0.5
17.01,-1.24050094150109,-0.638529664508638,-0.5
17.04,-1.22381269713549,-0.649307188491871,-0.5
17.07,-1.20671018763347,-0.659864871966235,-0.5
17.1,-1.18919018144711,-0.670194204900672,-0.5
17.13,-1.17124935183869,-0.68028631891231,-0.5
17.16,-1.15288427694366,-0.69013196366146,-0.5
17.19,-1.13409144018084,-0.69972148140348,-0.5
17.22,-1.11486723107895,-0.709044779521254,-0.5
17.25,-1.09520794660024,-0.718091300842759,-0.5
17.28,-1.07510979305623,-0.726849991526528,-0.5
17.31,-1.05456888872675,-0.73530926627354,-0.5
17.34,-1.03358126731345,-0.743456970596634,-0.5
17.37,-1.01214288238169,-0.75128033984781,-0.5
17.4,-0.990249612972346,-0.758765954669025,-0.5
17.43,-0.967897270597783,-0.76589969249299,-0.5
17.46,-0.945081607874857,-0.772666674676334,-0.5
17.49,-0.921798329094342,-0.779051208797705,-0.5
17.52,-0.898043103081506,-0.785036725597202,-0.5
17.55,-0.873811578768996,-0.790605709970083,-0.5
17.58,-0.849099403982899,-0.795739625356224,-0.5
17.61,-0.823902248038846,-0.800418830786159,-0.5
17.64,-0.798215828860814,-0.804622489753837,-0.5
17.67,-0.772035945475273,-0.808328469984295,-0.5
17.7,-0.745358516903126,-0.811513233050294,-0.5
17.73,-0.718179628678122,-0.814151712664541,-0.5
17.76,-0.690495588471805,-0.816217180332696,-0.5
17.79,-0.662302992611967,-0.817681096896464,-0.5
17.82,-0.633598805657477,-0.818512948325967,-0.5
17.85,-0.604380455653671,-0.818680063937585,-0.5
17.88,-0.574645948260145,-0.818147415020298,-0.5
17.91,-0.544394003642909,-0.816877391655979,-0.5
17.94,-0.513624220888071,-0.814829555326006,-0.5
17.97,-0.482337275765868,-0.811960364723269,-0.5
18,-0.450535159003067,-0.808222872058442,-0.5
18.03,-0.418221463872885,-0.803566387098465,-0.5
18.06,-0.385401733963915,-0.797936106258023,-0.5
18.09,-0.352083884540817,-0.791272704363218,-0.5
18.12,-0.318278714077977,-0.783511887341746,-0.5
18.15,-0.284000526473286,-0.774583905244841,-0.5
18.18,-0.249267889293555,-0.76441302693548,-0.5
18.21,-0.214104559340294,-0.752916980868316,-0.5
18.24,-0.178540614024026,-0.740006371195466,-0.5
18.27,-0.142613835622767,-0.725584085760225,-0.5
18.3,-0.106371405482661,-0.709544723531488,-0.5
18.33,-0.0698719763456205,-0.691774085296354,-0.5
18.36,-0.0331882025088598,-0.672148795193284,-0.5
18.39,0.0035901822350275,-0.650536154921699,-0.5
18.42,0.0403526432360724,-0.62679438103633,-0.5
18.45,0.0769633893872281,-0.600773443156885,-0.5
18.48,0.113256118094989,-0.572316811747574,-0.5
18.51,0.149027958839329,-0.5412645410961,-0.5
18.54,0.184032739907241,-0.507458253191707,-0.5
18.57,0.217973929078764,-0.470748734783467,-0.5
18.6,0.250497969073706,-0.431006969773838,-0.5
18.63,0.281189281291608,-0.388139413730062,-0.5
18.66,0.309568945530334,-0.342108024171702,-0.5
18.69,0.335099869861018,-0.292954773848565,-0.5
18.72,0.357201830023953,-0.240828878321442,-0.5
18.75,0.37527949216029,-0.1860127279601,-0.5
18.78,0.388764669039919,-0.12893998298317,-0.5
18.81,0.397170112076145,-0.0701976872140231,-0.5
18.84,0.400146718904559,-0.0105053621006917,-0.5
18.87,0.397531426051236,0.049330909118054,-0.5
18.9,0.389372496135681,0.10848335292082,-0.5
18.93,0.3759242299445,0.166172891178729,-0.5
18.96,0.357612548416097,0.221729191842378,-0.5
18.99,0.334981608124819,0.274628680777085,-0.5
19.02,0.308635344425644,0.324506938396296,-0.5
19.05,0.279185808642358,0.37114949496065,-0.5
19.08,0.247214885918312,0.414469015151655,-0.5
19.11,0.213250678280672,0.45447698891166,-0.5
19.14,0.177756398567999,0.491255907866207,-0.5
19.17,0.141128275832388,0.524935259324122,-0.5
19.2,0.103699058553019,0.555672546466441,-0.5
19.23,0.0657444391382157,0.583639232710501,-0.5
19.26,0.0274905787957881,0.609010885075598,-0.5
19.29,-0.0108783678116162,0.631960611985667,-0.5
19.32,-0.0492133123721637,0.65265494342906,-0.5
19.35,-0.0873941295018632,0.67125144647304,-0.5
19.38,-0.125324447828255,0.687897530904307,-0.5
19.41,-0.162927290222925,0.702730044101688,-0.5
19.44,-0.200141470922281,0.715875370198539,-0.5
19.47,-0.236918642492734,0.72744983626463,-0.5
